PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
1,,0,10,-25,R,0,R,,,TOP,,SWEAT,UC,,,Y TRADE,Z / WIDE,,,,,,NO GAIN,,,SLU,,,,,,,11
2,,2,10,-25,L,1,R,,,,,TUB,UC,,,,Z,,,,,,GAIN,,,SLU,,,,,,,12
3,,3,9,-26,L,8,R,,,,,EMPTY TOP,GUN,,,,,,,,,,GAIN,,,SLU,,,,,,,1
4,,0,10,-22,L,7,P,,,,,SPIKE,UC,,,,,,,,,,GAIN,,,SLU,,,,,,,12
5,,2,3,-29,R,0,R,,,,,SWEAT,UC,,,F FLIGHT,OFF,,,,,,NO GAIN,,,SLU,,,,,,,20
6,,3,3,-29,R,4,P,,,TOP,,SWEAT,GUN,,,Y TRADE,,,,,,TEMP,SCRAMBLE,,,SLU,,,,,,,11
7,,1,10,-33,L,50,P,,,,,EMPTY TOP,GUN,,,,STR MID,,,,,STIFF MIKE,"PASS, COMPLETE",,,SLU,,,,,,,1
8,,1,10,17,L,9,P,,,,,TOP,GUN,,,H SOAR,OPEN / WK SNUG,,,,,SOLID SNAZ,"PASS, COMPLETE",,,SLU,,,,,,,11
9,,2,1,8,L,0,P,,,,,PIG,GUN,,,,FAR,,,,,SUPER TEMP,"PASS, INCOMPLETE",,,SLU,,,,,,,PIG
10,,3,1,8,L,2,R,,,,,TRIGGER,UC,,,,,,,,,,GAIN,,,SLU,,,,,,,12
11,,1,6,6,L,0,P,,,,,JET,GUN,,,,,,,,,TEMP,INCOMPLETE,,,SLU,,,,,,,JET
12,,2,6,6,L,0,P,,,,,JET,GUN,,,,,,,,,TEMP,INCOMPLETE,,,SLU,,,,,,,JET
13,,3,6,6,L,5,R,,,TOP,,SWEAT,GUN,,,Y TRADE,,,,,,,GAIN,,,SLU,,,,,,,11
14,,0,10,-32,M,-2,R,,,,,SWEAT,UC,,,F - I,OFF,,,,,,LOSS,,,SLU,,,,,,,20
15,,2,12,-30,R,11,P,,,,,EMPTY TOP,GUN,,,,,,,,,PHONE,SCRAMBLE,,,SLU,,,,,,,1
16,,3,1,-41,R,-2,R,,,,,SPILL,UC,,,,WK MID,,,,,,LOSS,,,SLU,,,,,,,21
17,,0,10,-42,R,0,P,,,,,TRIPS,GUN,,,,FAR,,,,,STIFF MAX,"INCOMPLETE, PENALTY",,,SLU,,,,,,,10
18,,1,10,42,R,-2,R,,,,,SPIKE,UC,,,,,,,,,,LOSS,,,SLU,,,,,,,12
19,,2,12,40,R,17,P,,,,,EMPTY TOP,GUN,,,,STR MID,,,,,STIFF MIKE,"COMPLETE, PENALTY",,,SLU,,,,,,,1
20,,1,10,14,R,-6,P,,,,,SPRINT,GUN,,,Z SOAR,STR SNUG,,,,,SOLID 6 WAX,SACK,,,SLU,,,,,,,11
21,,2,16,20,R,0,P,,,,,EMPTY TOP,GUN,,,,,,,,,SOLID WAX,"SCRAMBLE, INCOMPLETE",,,SLU,,,,,,,1
22,,3,16,20,R,0,,,,,,SWEAT,,,,,OFF,,,,,,,,,SLU,,,,,,,20
23,,3,16,20,R,1,R,,,,,TRIPS,GUN,,,,WIDE,,,,,,GAIN,,,SLU,,,,,,,10
24,,1,10,-34,R,-3,R,,,,,TRIPS,GUN,,,,FAR,,,,,CUP,LOSS,,,SLU,,,,,,,10
25,,2,13,-31,R,7,R,,,,,EMPTY TOP,GUN,,,,,,,,,,GAIN,,,SLU,,,,,,,1
26,,3,6,-38,R,-8,P,,,,,EMPTY TOP,GUN,,,,,,,,,PHONE,SACK,,,SLU,,,,,,,1
27,,0,10,-26,L,6,P,,,TOP,,SWEAT,GUN,,,Y TRADE,OFF / WK MID,,,,,SOLID 7,SCRAMBLE,,,SLU,,,,,,,11
29,,1,10,-38,L,21,P,,,,,TOP,GUN,,,,,,,,,SOLID 6 ST,SCRAMBLE,,,SLU,,,,,,,11
30,,1,10,41,R,-6,P,,,,,SPRINT,GUN,,,,,,,,,TEMP,FUMBLE,,,SLU,,,,,,,11
31,,2,16,47,R,0,P,,,,,TOP,GUN,,,,OPEN,,,,,CUP,INCOMPLETE,,,SLU,,,,,,,11
32,,3,16,47,R,-7,P,,,,,EMPTY TOP,GUN,,,,STR MID,,,,,STIFF MIKE,SACK,,,SLU,,,,,,,1
33,,0,10,-18,L,-3,R,,,,,TUB,UC,,,,Z,,,,,,LOSS,,,SLU,,,,,,,21
34,,2,13,-15,L,0,R,,,,,SPIKE,GUN,,,F FLIGHT,NEAR,,,,,,NO GAIN,,,SLU,,,,,,,12
35,,3,13,-15,L,-3,P,,,,,EMPTY TOP,GUN,,,,STR MID,,,,,STIFF MIKE,SACK,,,SLU,,,,,,,1
