PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
2,,0,10,-19,R,3,R,R,,TEX,,SWEAT,,,,X FLUTTER,,,,,,,RUSH,,,SLU,,,,,,,11
3,,2,7,-22,R,-4,R,R,,TOP,,TOP,,,,,H OFF,,,,,,RUSH,,,SLU,,,,,,,11
4,,3,11,-18,L,0,P,L,,TEX,,TEX,WEAK,,,,,,,,,,TIMEOUT NP,,,SLU,,,,,,,11
5,,3,11,-18,L,-16,P,L,,TEX,,TEX,WEAK,,,,,,,,,,"PASS, FUM",,,SLU,,,,,,,11
15,,0,10,-28,R,2,R,R,,SPILL,,TUB,,,,Z FLY,,,,,,,RUSH,,,SLU,,,,,,,12
16,,2,8,-30,R,-2,R,R,,SPRINT,,TRIPS,,,,Y TRADE,DBL TIGHT,,,,,,RUSH,,,SLU,,,,,,,11
17,,3,10,-28,R,5,R,R,,TEX,,TEX,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
23,,0,10,-35,R,2,R,R,,SPRINT,,TOP,,,,Y TRADE H OVER,,,,,,,RUSH,,,SLU,,,,,,,11
24,,2,8,-37,R,6,R,R,,TUB,,SPRINT,,,,H OVER,STR SNUG,,,,,,RUSH,,,SLU,,,,,,,11
25,,3,2,-43,L,1,R,L,,TEX,,SWEAT,STRONG,,,X FLUTTER,Z,,,,,,RUSH,,,SLU,,,,,,,11
26,,4,1,-44,L,2,R,L,,TEX,,TEX,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,11
27,,1,10,-45,L,1,R,L,,SPRINT,,SPRINT,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
28,,2,9,-46,M,0,R,M,,TOP,,TOP,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
29,,3,9,-46,R,0,P,RM,,SPILL,,TUB,,,,Z FLIGHT,,,,,,IZ,"PASS, INT",,,SLU,,,,,,,12
41,,0,10,-25,R,1,R,R,,TEX,,SPRINT,,,,X OVER,,,,,,,RUSH,,,SLU,,,,,,,11
42,,2,9,-26,R,-5,P,R,,TOP,,SPRINT,WEAK,,,Y ACROSS,OFF,,,,,,PENALTY NP,,,SLU,,,,,,,11
43,,2,14,-21,R,0,P,R,,TOP,,SPRINT,WEAK,,,Y ACROSS,OFF,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
44,,3,14,-21,R,0,P,R,,TOP,,TOP,WEAK,,,,,,,,,,"PASS, INC",,,SLU,,,,,,,11
58,,0,10,-23,L,3,R,LM,,SPRINT,,SPRINT,,,,,STR TIGHT,,,,,,RUSH,,,SLU,,,,,,,11
59,,2,7,-26,L,-2,R,L,,,,,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
60,,3,9,-24,L,0,P,L,,SPRINT,,SPRINT,,,,X SOAR,,,,,,CHARGER RT,"PASS, INC",,,SLU,,,,,,,11
68,,0,10,-41,R,21,P,RM,,TAP,,TAP,,,,H OUT,STR TIGHT,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
69,,1,10,38,R,2,P,R,,TOP,,SPRINT,,,,H OVER,STR TIGHT,,,,,,RUSH,,,SLU,,,,,,,11
70,,2,8,36,M,0,P,M,,SPRINT,,SPRINT,,,,,OFF,,,,,CHARGER LT,"PASS, INC",,,SLU,,,,,,,11
71,,3,8,36,M,0,P,M,,SWEAT,,SWEAT,WEAK,,,,,,,,,BOLT LT,"PASS, INC",,,SLU,,,,,,,11
72,,4,8,36,M,5,P,M,,TOP,,TOP,WEAK,,,,,,,,,CUP LT,"PASS, INC, PENALTY",,,SLU,,,,,,,11
73,,4,3,31,M,0,P,M,,TOP,,TOP,WEAK,,,,,,,,,CUP LT,"PASS, INC",,,SLU,,,,,,,11
84,,0,10,-15,R,-2,R,R,,SPRINT,,SPRINT,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
85,,2,12,-13,R,2,R,R,,SPIN,,SPIN,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
91,,0,10,-40,L,-4,R,L,,SPRINT,,SPRINT,WEAK,,,X SPEED,Z,,,,,,RUSH,,,SLU,,,,,,,11
92,,2,14,-36,R,4,R,R,,SPRINT,,SPRINT,,,,,STR TIGHT,,,,,,RUSH,,,SLU,,,,,,,11
93,,3,10,-40,R,0,P,RM,,TOP,,TOP,WEAK,,,,,,,,,,"PASS, INC",,,SLU,,,,,,,11
109,,0,10,-25,R,3,R,R,,TEX,,SWEAT,STRONG,,,X FLUTTER,Z,,,,,,RUSH,,,SLU,,,,,,,11
110,,2,7,-28,R,30,P,RM,,TOP,,TOP,,,,,OFF,,,,,CHARGER RT,"PASS, COMP",,,SLU,,,,,,,11
