PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
2,,0,10,-35,R,0,R,,,,,SPILL,UC,,,,,,,,,,GAIN,,,SLU,,,,,,,12
3,,2,9,-35,R,1,P,,,,,EMPTY SPRINT,GUN,,,,,,,,,PHONE,INCOMPLETE,,,SLU,,,,,,,1
4,,3,9,-36,R,21,R,,,,,EMPTY SPRINT,GUN,,,,,,,,,,GAIN,,,SLU,,,,,,,1
5,,1,10,43,R,-1,R,,,,,SPILL,UC,,,,WK MID,,,,,,GAIN,,,SLU,,,,,,,12
6,,2,11,44,R,7,P,,,,,EMPTY SPRINT,GUN,,,,,,,,,PHONE,GAIN,,,SLU,,,,,,,1
7,,3,4,37,M,0,P,,,,,EMPTY SPRINT,GUN,,,,,,,,,PHONE,PENALTY,,,SLU,,,,,,,1
8,,1,10,22,M,4,R,,,,,TUB,UC,,,,Z,,,,,,GAIN,,,SLU,,,,,,,21
9,,2,6,18,L,-1,P,,,SPRINT,,PACK,UC,,,F FLIGHT,FAR,,,,,SOLID 6 WILL,LOSS,,,SLU,,,,,,,21
10,,3,7,19,L,0,P,,,,,EMPTY SPRINT,GUN,,,,,,,,,PHONE,INCOMPLETE,,,SLU,,,,,,,1
26,,0,10,-20,R,3,R,,,,,SPIKE,UC,,,,,,,,,,GAIN,,,SLU,,,,,,,12
27,,2,7,-23,R,9,R,,,,,EMPTY SPRINT,GUN,,,,,,,,,,GAIN,,,SLU,,,,,,,1
28,,1,10,-32,R,-1,R,,,,,SPIKE,UC,,,,,,,,,,LOSS,,,SLU,,,,,,,12
29,,2,11,-31,R,7,P,,,,,SPRINT,GUN,,,,,,,,,TEMP,SCRAMBLE,,,SLU,,,,,,,11
30,,3,4,-38,L,3,R,,,,,SPRINT,GUN,,,,,,,,,CUP,GAIN,,,SLU,,,,,,,11
38,,0,10,-28,R,3,R,,,,,SPRINT,UC,,,,,,,,,,GAIN,,,SLU,,,,,,,11
39,,2,7,-31,R,4,R,,,,,SPRINT,GUN,,,,,,,,,,GAIN,,,SLU,,,,,,,11
40,,3,3,-35,R,8,P,,,,,SPILL,UC,,,,,,,,,CHARGER LT,COMPLETE,,,SLU,,,,,,,12
41,,1,10,-43,L,-2,P,,,,,EMPTY SPRINT,GUN,,,,,,,,,SOLID WOOD SAX,SACK,,,SLU,,,,,,,1
42,,2,12,-41,L,2,R,,,,,SPRINT,UC,,,,,,,,,,LOSS,,,SLU,,,,,,,11
43,,3,10,-43,L,4,R,,,,,SPRINT,GUN,,,,,,,,,,GAIN,,,SLU,,,,,,,11
50,,0,10,24,R,24,P,,,,,SPILL,GUN,,,,WK MID,,,,,CHARGER LT,"COMPLETE, TD",,,SLU,,,,,,,12
56,,1,10,31,L,2,R,,,,,SPRINT,GUN,,,,,,,,,,GAIN,,,SLU,,,,,,,11
57,,2,8,29,L,-7,P,,,,,SPRINT,GUN,,,,,,,,,CUP,LOSS,,,SLU,,,,,,,11
58,,3,20,41,L,6,P,,,,,EMPTY SPRINT,GUN,,,,,,,,,PHONE,COMPLETE,,,SLU,,,,,,,1
59,,4,14,35,L,0,P,,,,,TOP,GUN,,,H SOAR,OPEN / WK SNUG,,,,,SOLID SNAZ,COMPLETE,,,SLU,,,,,,,11
72,,0,10,-28,R,0,P,,,,,TOP,GUN,,,,,,,,,SOLID,INCOMPLETE,,,SLU,,,,,,,11
