PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
1,,0,10,-25,R,5,P,,,,,TRIPS,GUN,,,,DOWN,,,,,SOLID 6 LT ST,COMPLETE,,,SLU,,,,,,,10
2,,2,5,-30,R,-2,R,,,,,TEX,GUN,,,,DOWN,,,,,,LOSS,,,SLU,,,,,,,11
3,,3,7,-28,R,8,R,,,TIN,,SPILL,GUN,,,Z FLIGHT,UP,,,,,,GAIN,,,SLU,,,,,,,12
4,,1,10,-36,R,0,P,,,,,SPILL,GUN,,,,Z / DOWN,,,,,DASH LT,THROW AWAY,,,SLU,,,,,,,12
5,,2,10,-36,R,0,P,,,,,TRIPS,GUN,,,,UP,,,,,SOLID 6 LT WAX,INCOMPLETE,,,SLU,,,,,,,10
6,,3,10,-36,R,7,P,,,,,TEX,GUN,,,,UP,,,,,SOLID SNAZ,SCRAMBLE,,,SLU,,,,,,,11
7,,0,10,-27,R,12,R,,,,,TEX,GUN,,,,WIDE / UP,,,,,,"PASS, COMP",,,SLU,,,,,,,11
8,,1,10,-39,L,5,R,,,,,TEX,GUN,,,,DOWN,,,,,,GAIN,,,SLU,,,,,,,11
9,,2,5,-44,M,0,P,,,TIN,,SPILL,GUN,,,Z ACROSS,,,,,,CHARGER RT MAX Y CHUNK,INCOMPLETE,,,SLU,,,,,,,12
10,,3,5,-44,M,2,R,,,TIN,,SPILL,GUN,,,Z ACROSS,,,,,,,GAIN,,,SLU,,,,,,,12
11,,0,10,-30,R,-1,R,,,TIN,,SPILL,GUN,,,Z ACROSS,,,,,,,FUMBLE TURNOVER,,,SLU,,,,,,,12
12,,0,10,-24,R,2,R,,,,,SPILL,GUN,,,,UP,,,,,,GAIN,,,SLU,,,,,,,12
13,,2,8,-26,R,-2,R,,,,,TEX,GUN,,,,WIDE / DOWN,,,,,,"PASS, COMP",,,SLU,,,,,,,11
14,,3,10,-24,L,0,R,,,,,TRIPS,GUN,,,,DOWN,,,,,CUP,"PASS, INC",,,SLU,,,,,,,10
15,,0,10,-8,R,15,P,,,,,TRIPS,GUN,,,,,,,,,TEMP,"PASS, COMP",,,SLU,,,,,,,10
16,,1,10,-23,L,14,P,,,,,TRIPS,GUN,,,,UP,,,,,CUP,"PASS, COMP",,,SLU,,,,,,,10
17,,1,10,-37,L,9,P,,,,,TOP,GUN,,,,DOWN,,,,,SOLID,"PASS , COMP",,,SLU,,,,,,,11
18,,2,1,-46,L,2,R,,,,,SPILL,G,,,,Z / UP,,,,,,GAIN,,,SLU,,,,,,,12
