PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
1,,0,10,-15,L,0,P,,,,,SWEAT,G,,,,H,,,,,DASH RT,INC,,,SLU,,,,,,,11
2,,2,10,-15,L,7,R,,,,,TOP,G,,,,,,,,,,GAIN,,,SLU,,,,,,,11
3,,3,3,-22,R,40,R,,,,,SPRINT,G,,,,,,,,,CUP,GAIN,,,SLU,,,,,,,11
4,,1,10,38,R,10,P,,,,,TOP,G,,,,WIDE,,,,,COLD,COMP.,,,SLU,,,,,,,11
5,,2,10,38,L,10,R,,,TOP,,SWEAT,G,,,Y TRADE,WK WIDE,,,,,,"PASS , COMP",,,SLU,,,,,,,11
6,,1,10,28,R,3,R,,,SWEAT,,TOP,G,,,Y TRADE,WIDE,,,,,,GAIN,,,SLU,,,,,,,11
7,,2,7,25,R,0,P,,,,,TOP,G,,,,,,,,,SOLID 7 LT,INC,,,SLU,,,,,,,11
8,,3,7,25,M,-8,P,,,,,SPREAD,G,,,,H,,,,,TEMP,SACK,,,SLU,,,,,,,10
9,,4,15,33,R,,,,,,,TRIGGER,G,,,,,,,,,SUPER TEMP,QUICK KICK,,,SLU,,,,,,,12
10,,0,10,34,L,12,R,,,,,BOMBER,G,,,,,,,,,BIG,"PASS , COMP",,,SLU,,,,,,,11
11,,1,10,22,L,-2,R,,,SWEAT,,TOP,G,,,Y TRADE,WIDE,,,,,,LOSS,,,SLU,,,,,,,11
12,,2,12,24,L,-9,P,,,,,SPRINT,G,,,Z SOAR,STR SNUG,,,,,SOLID 6 RT WAX,SACK,,,SLU,,,,,,,11
13,,3,21,33,L,5,R,,,,,TEX,G,,,,Y / OPEN / WK X BUNCH,,,,,,GAIN,,,SLU,,,,,,,11
14,,0,10,-20,L,28,P,,,,,BOMBER,G,,,,,,,,,CHARGER RT,"PASS , COMP",,,SLU,,,,,,,11
15,,1,10,-48,M,0,R,,,,,SPRINT,G,,,X SPEED,T,,,,,,PENALTY NO PLAY,,,SLU,,,,,,,11
16,,1,15,-43,M,-1,R,,,TOP,,SWEAT,G,,,Y TRADE,WK WIDE,,,,,,LOSS,,,SLU,,,,,,,11
17,,2,16,-42,L,8,P,,,,,SPRINT,G,,,X SOAR,WK MID,,,,,CHARGER RT,"PASS , COMP",,,SLU,,,,,,,11
18,,3,8,50,L,-2,P,,,TOP,,SWEAT,G,,,Y TRADE,,,,,,SOLID,"PASS , COMP",,,SLU,,,,,,,11
19,,4,10,-48,L,,,,,,,TRIGGER,G,,,,,,,,,SUPER TEMP,QUICK KICK,,,SLU,,,,,,,12
20,,0,10,-35,R,-1,R,,,,,TOP,G,,,,,,,,,,LOSS,,,SLU,,,,,,,11
21,,2,11,-34,L,9,P,,,,,SPRINT,G,,,X SOAR,WK MID,,,,,CHARGER LT,"PASS , COMP",,,SLU,,,,,,,11
22,,3,2,-43,L,7,R,,,,,SPREAD,G,,,,H,,,,,CUP,GAIN,,,SLU,,,,,,,10
