PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
7,,0,10,45,R,33,P,R,,SPRINT,,TAP,,,,Y FLIGHT,H OFF,,,,,CUP,"PASS, COMP",,,SLU,,,,,,,11
8,,1,10,12,R,0,,R,,,,,,,,,,,,,,,TIMEOUT,,,SLU,,,,,,,11
9,,1,15,17,R,3,R,R,,TEX,,TEX,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
10,,2,10,12,R,5,P,R,,TEX,,TEX,STRONG,,,,OPEN,,,,,,"PASS, COMP",,,SLU,,,,,,,11
11,,3,6,8,R,0,P,R,,SPRINT,,TEX,WEAK,,,X FLIGHT,,,,,,TEMP,PASS INC,,,SLU,,,,,,,11
20,,0,10,-23,L,2,R,L,,SPRINT,,SPRINT,,,,X SOAR,,,,,,,RUSH,,,SLU,,,,,,,11
21,,2,8,-25,L,9,P,L,,TOP,,SWEAT,WEAK,,,Z FLIGHT,WK STACK,,,,,,"PASS , COMP",,,SLU,,,,,,,11
22,,1,10,-34,R,6,R,R,,TUB,,SPRINT,,,,H OVER,STR SNUG,,,,,,RUSH,,,SLU,,,,,,,11
23,,2,4,-40,L,-1,R,L,,SPRINT,,SPRINT,WEAK,,,X SPEED,Z,,,,,,RUSH,,,SLU,,,,,,,11
24,,3,5,-39,R,14,P,R,,TOP,,SWEAT,STRONG,,,Z FLIGHT,,,,,,CUP,"PASS , COMP",,,SLU,,,,,,,11
25,,1,10,47,R,17,P,RM,,SPRINT,,SPRINT,WEAK,,,,,,,,,CUP,"PASS, COMP",,,SLU,,,,,,,11
26,,1,10,30,L,6,P,L,,SPRINT,,TOP,,,,Z FLIGHT,OFF,,,,,,"PASS , COMP",,,SLU,,,,,,,11
27,,2,4,24,R,11,R,R,,SPRINT,,SPRINT,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
28,,1,10,13,R,10,R,R,,TEX,,SPRINT,,,,X OVER,,,,,,,RUSH,,,SLU,,,,,,,11
29,,1,3,3,R,2,P,R,,TEX,,,,,,,,,,,,,"PASS , COMP",,,SLU,,,,,,,11
30,,2,1,1,L,0,R,L,,SPIN,,SPIN,,,,X SOAR,,,,,,,RUSH,,,SLU,,,,,,,12
31,,3,1,1,L,1,R,L,,TEX,,,,,,,,,,,,,RUSH TD,,,SLU,,,,,,,11
39,,0,10,22,L,22,P,L,,TRIPS,,TRIPS,WEAK,,,Y SOAR,Z,,,,,,"PASS,TD",,,SLU,,,,,,,11
53,,0,10,-40,R,7,P,LM,,TOP,,TOP,,,,T SOAR,,,,,,,"PASS , COMP",,,SLU,,,,,,,11
54,,2,3,-47,L,0,P,R,,SPRINT,,SPRINT,,,,,OFF,,,,,CHARGER LT,"PASS, INT",,,SLU,,,,,,,11
67,,0,10,-22,R,13,P,L,,TEX,,TEX,STRONG,,,,WIDE,,,,,CALL,"PASS, COMP",,,SLU,,,,,,,11
68,,1,10,-35,R,0,P,L,,SPRINT,,TOP,WEAK,,,Z FLIGHT,,,,,,CUP RT,"PASS, INC",,,SLU,,,,,,,11
69,,2,10,-35,R,0,P,L,,TOP,,TOP,STRONG,,,,,,,,,CUP LT,"PASS,INC",,,SLU,,,,,,,11
70,,3,10,-35,R,7,P,L,,SPRINT,,SPRINT,WEAK,,,,,,,,,,"PASS , COMP",,,SLU,,,,,,,11
78,,0,10,-30,R,0,R,LM,,TOP,,TRIPS,,,,Y SOAR,WK SNUG,,,,,,RUSH,,,SLU,,,,,,,11
79,,2,10,-30,R,4,R,LM,,TOP,,TOP,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
80,,3,6,-34,L,0,P,R,,TOP,,TOP,,,,T SOAR,,,,,,,PASS INT,,,SLU,,,,,,,11
88,,0,10,-20,M,0,R,RM,,SPIN,,SPIN,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
89,,2,10,-20,M,0,P,LM,,SPIN,,SPIN,,,,,,,,,,SAN DIEGO LT,"PASS,INC",,,SLU,,,,,,,12
90,,3,10,-20,M,0,P,LM,,SWEAT,,SWEAT,WEAK,,,,H,,,,,CUP RT,"PASS, SCRAMBLE",,,SLU,,,,,,,11
96,,0,10,-24,R,-2,R,LM,,SPRINT,,SPRINT,,,,,STR SNUG,,,,,,RUSH,,,SLU,,,,,,,11
114,,2,12,-22,L,4,R,L,,SPRINT,,SPRINT,WEAK,,,X SPEED,Z,,,,,,RUSH,,,SLU,,,,,,,11
97,,3,8,-26,R,9,P,R,,TOP,,SPRINT,WEAK,,,Y FLIGHT,OPEN,,,,,,"PASS, COMP",,,SLU,,,,,,,11
98,,1,10,-35,R,2,R,R,,TOP,,TOP,,,,,STR TIGHT,,,,,,RUSH,,,SLU,,,,,,,11
99,,2,8,-37,R,0,R,R,,TEX,,TEX,,,,,,,,,,,"RUSH, FUM",,,SLU,,,,,,,11
111,,0,10,-33,M,0,R,LM,,TOP,,SPRINT,,,,X FLUTTER,Z,,,,,,"RUSH, FUM",,,SLU,,,,,,,11
116,,0,10,-6,M,-1,R,LM,,SPIN,,SPIN,,,,Y SOAR,,,,,,,"RUSH, FUM",,,SLU,,,,,,,12
117,,2,11,-5,M,0,,LM,,,,,,,,,,,,,,,TIMEOUT NP,,,SLU,,,,,,,
118,,2,11,-5,M,2,P,LM,,TOP,,SPRINT,WEAK,,,Y FLIGHT,OFF STR SNUG,,,,,BOLT RT,"PASS, COMP",,,SLU,,,,,,,11
119,,3,9,-7,R,5,P,R,,TEX,,SWEAT,WEAK,,,X ACROSS,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
125,,0,10,-26,L,15,P,L,,TEX,,TEX,STRONG,,,,WIDE,,,,,CALL,"PASS, INC, PENALTY",,,SLU,,,,,,,11
126,,1,10,-41,L,8,R,L,,SPIN,,SPIN,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
127,,2,2,-49,L,3,R,L,,SPIN,,SPIN,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
128,,1,10,48,,2,R,LM,,TOP,,TOP,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
129,,2,8,46,L,12,R,R,,SPIN,,SPIN,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
130,,1,10,34,R,25,R,R,,SPIN,,SPIN,,,,X SOAR,,,,,,,RUSH,,,SLU,,,,,,,12
131,,1,9,9,R,5,R,R,,SPIN,,SPIN,,,,X SOAR,,,,,,,RUSH,,,SLU,,,,,,,12
132,,2,4,4,M,-1,R,LM,,SPRINT,,SPRINT,STRONG,,,,DBL SNUG,,,,,,RUSH,,,SLU,,,,,,,11
133,,3,5,5,R,0,R,R,,SPIN,,SPIN,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
142,,0,10,35,R,-1,R,,,,,,,,,,,,,,,,VICTORY,,,,,,,,,,
