PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
2,,0,10,-27,R,8,R,,,,,TRIPS,,,,,UP,,,,,,"PASS , COMP",,,SLU,,,,,,,10
3,,2,2,-35,L,4,R,,,,,TRIPS,,,,,DOWN,,,,,,RUSH,,,SLU,,,,,,,10
4,,1,10,-39,L,0,R,,,,,TEX,,,,,WIDEISH,,,,,,RUSH,,,SLU,,,,,,,11
5,,2,10,-39,L,0,P,,,,,TOP,,,,Z SEARCH,DOWN,,,,,SOLID SNAZ,"SCRAMBLE , INC",,,SLU,,,,,,,11
6,,3,10,-46,L,7,P,,,,,TRIPS,,,,,WIDEISH / DOWN,,,,,SOLID CENTER,COMP,,,,,,,,,,10
16,,0,10,-25,R,4,P,,,,,EMPTY TOP,,,,,,,,,,SOLID CENTER,COMP,,,,,,,,,,1
17,,2,1,-34,L,6,R,,,,,TEX,,,,,DOWN,,,,,,"PASS , COMP",,,SLU,,,,,,,11
18,,1,10,-40,R,32,P,,,,,TRIPS,,,,,WIDEISH / DOWN,,,,,CUP LT STAY,COMP,,,SLU,,,,,,,10
19,,1,10,28,R,0,P,,,,,SPRINT,,,,,,,,,,HOT,INC,,,SLU,,,,,,,11
20,,2,10,28,R,0,P,,,,,SPREAD,,,,,UP,,,,,CUP RT STAY,INC,,,SLU,,,,,,,10
21,,3,10,28,R,1,R,,,,,SPREAD,,,,,UP,,,,,,RUSH,,,,,,,,,,10
28,,0,10,-47,R,5,R,,,,,TRIPS,,,,,WIDEISH / UP,,,,,,RUSH,,,,,,,,,,10
29,,2,5,48,R,11,R,,,,,SPREAD,,,,,DOWN,,,,,SOLID CENTER,RUSH,,,SLU,,,,,,,10
30,,1,10,37,R,2,P,,,,,TOP,,,,,UP,,,,,COLD,COMP,,,SLU,,,,,,,11
31,,2,8,35,L,25,P,,,,,EMPTY SPRINT,,,,,T,,,,,SOLID CENTER,COMP,,,SLU,,,,,,,1
32,,1,10,10,R,2,R,,,,,TEX,,,,,DOWN,,,,,,RUSH,,,SLU,,,,,,,11
33,,2,8,8,R,1,R,,,,,TRIGGER,,,,,UP,,,,,,RUSH,,,SLU,,,,,,,12
34,,3,7,7,R,-2,R,,,,,TRIGGER,,,,,UP,,,,,,RUSH,,,,,,,,,,12
47,,0,10,-18,L,18,P,,,,,SPRINT,,,,,DOWN,,,,,SOLID 7 RT,COMP,,,,,,,,,,11
48,,1,10,-37,M,7,R,,,,,TOP,,,,Z SEARCH,,,,,,,RUSH,,,SLU,,,,,,,11
49,,2,3,-44,L,12,R,,,,,SPREAD,,,,,UP,,,,,,"PASS , COMP",,,SLU,,,,,,,10
50,,1,10,44,L,0,R,,,,,TUB,,,,,Z,,,,,,RUSH,,,SLU,,,,,,,12
51,,2,10,44,M,9,P,,,,,EMPTY TOP,,,,,,,,,,SOLID CENTER,COMP,,,SLU,,,,,,,1
52,,3,1,35,R,1,R,,,,,TRIGGER,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
53,,1,10,34,R,0,,,,,,TRIPS,,,,,,,,,,,PENALTY,,,SLU,,,,,,,10
54,,1,15,39,R,0,P,,,,,TRIPS,,,,,,,,,,,"PASS , INC",,,SLU,,,,,,,10
55,,2,15,39,R,-8,P,,,,,TRIPS,,,,,,,,,,SOLID SNAZ,SACK,,,SLU,,,,,,,10
56,,3,23,47,L,0,R,,,,,TUB,,,,,Z,,,,,,RUSH,,,,,,,,,,12
67,,0,10,-5,L,20,R,,,,,TEX,,,,,WIDEISH / UP,,,,,,RUSH,,,,,,,,,,11
68,,1,10,-25,L,5,P,,,,,SPRINT,,,,,UP,,,,,SOLID CENTER,COMP,,,SLU,,,,,,,11
69,,2,5,-30,L,0,P,,,,,SPRINT,,,,,,,,,,TEMP,THROW AWAY,,,SLU,,,,,,,11
70,,3,5,-30,L,9,R,,,,,TRIPS,,,,,WIDEISH / DOWN,,,,,SOLID CENTER,"PASS , COMP",,,SLU,,,,,,,10
71,,1,10,-39,L,47,P,,,,,TRIPS,,,,,WIDEISH / DOWN,,,,,CUP LT STAY,COMP,,,SLU,,,,,,,10
72,,1,10,14,M,14,P,,,,,SPRINT,,,,,STR SNUG,,,,,TEMP,"COMP , TD",,,,,,,,,,11
90,,0,10,-15,L,5,P,,,TRIPS,,TRIPS,,,,,WIDEISH / UP,,,,,SOLID CENTER,COMP,,,,,,,,,,10
91,,2,5,-20,R,15,P,,,TRIPS,,TRIPS,,,,,WIDEISH / DOWN,,,,,,"PASS , COMP",,,SLU,,,,,,,10
92,,1,10,-35,R,5,R,,,TEX,,TEX,,,,,WIDEISH,,,,,,RUSH,,,SLU,,,,,,,11
93,,2,5,-40,R,6,R,,,TOP,,TOP,,,,Z SEARCH,UP,,,,,,RUSH,,,SLU,,,,,,,11
94,,1,10,-46,R,54,P,,,EMPTY,,EMPTY TRIPS,,,,,,,,,,SOLID CENTER,"COMP , TD",,,,,,,,,,0
107,,0,10,-32,R,6,R,,,TRIPS,,TRIPS,,,,,WIDEISH / DOWN,,,,,,RUSH,,,,,,,,,,10
108,,2,4,-38,R,0,P,,,,,TRIPS,,,,,,,,,,,"PASS , INC",,,SLU,,,,,,,10
109,,3,4,-38,R,12,P,,,,,TRIPS,,,,,,,,,,RINGO,COMP,,,SLU,,,,,,,0
110,,1,10,50,R,-2,R,,,,,TOP,,,,Z SEARCH,,,,,,,RUSH,,,SLU,,,,,,,11
111,,2,8,-48,L,1,R,,,,,TRIPS,,,,,WIDEISH / UP,,,,,,RUSH,,,SLU,,,,,,,10
112,,3,7,-49,L,12,P,,,,,TRIPS,,,,,WIDEISH / DOWN,,,,,SOLID CENTER,"PASS , COMP",,,SLU,,,,,,,10
113,,1,10,39,L,3,R,,,,,TOP,,,,Z SEARCH,,,,,,,RUSH,,,SLU,,,,,,,11
114,,2,7,36,R,11,R,,,,,TRIPS,,,,,WIDEISH / UP,,,,,,RUSH,,,SLU,,,,,,,10
115,,1,10,25,R,0,P,,,,,TOP,,,,Z SEARCH,DOWN,,,,,CHARGER RT,INC,,,SLU,,,,,,,11
116,,2,10,25,R,25,R,,,,,TRIPS,,,,,WIDEISH / UP,,,,,SOLID CENTER,"RUSH , TD",,,,,,,,,,10
127,,0,10,-35,R,1,R,,,,,TRIPS,,,,,WIDEISH / DOWN,,,,,,RUSH,,,,,,,,,,10
128,,2,9,-36,R,5,P,,,,,TOP,,,,,UP,,,,,COLD,COMP,,,SLU,,,,,,,11
