PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
2,,0,10,-25,M,1,R,RM,,TOP,,TOP,,,,Y SOAR,OFF,,,,,,RUSH,,,SLU,,,,,,,11
3,,2,9,-26,R,6,P,RM,,SPRINT,,TOP,,,,Y TRADE,OFF,,,,,,"PASS, COMP",,,SLU,,,,,,,11
4,,3,3,-32,R,0,P,R,,TOP,,SPRINT,WEAK,,,Y FLIGHT,OFF,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
19,,0,10,-35,R,0,R,R,,TOP,,TOP,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
20,,2,10,-35,R,0,P,R,,SPREAD,,SPREAD,STRONG,,,,STR MID,,,,,CUP LT,"PASS, INC",,,SLU,,,,,,,11
21,,3,10,-35,R,10,P,R,,TOP,,TOP,STRONG,,,Z RETURN,,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
22,,1,10,-45,R,3,P,R,,,,,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
23,,2,7,-48,L,6,R,L,,SWEAT,,SWEAT,,,,,STR TIGHT,,,,,,RUSH,,,SLU,,,,,,,11
24,,3,1,46,L,4,R,L,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,BEEF
25,,1,10,42,L,-15,R,L,,,,,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
26,,1,25,-43,L,26,P,L,,SPRINT,,SPRINT,,,,,WK SNUG,,,,,TEMP,"PASS, COMP",,,SLU,,,,,,,11
27,,1,10,31,L,0,P,L,,,,,,,,,,,,,,,"PASS, INC",,,SLU,,,,,,,11
28,,2,10,31,L,0,P,L,,TEX,,TEX,,,,X RETURN,H WIDE,,,,,CHARGER RT,"PASS, INC",,,SLU,,,,,,,11
29,,3,10,31,L,7,P,L,,TOP,,TOP,STRONG,,,Z RETURN,OPEN,,,,,TEMP,"PASS, COMP",,,SLU,,,,,,,11
30,,4,3,24,L,13,P,LM,,SPILL,,SPILL,,,,,,,,,,,"PASS, INC, PENALTY",,,SLU,,,,,,,PORK
31,,1,10,11,R,-1,P,R,,TIN,,TUX,WEAK,,,H OUT,,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
32,,2,11,12,R,0,P,R,,TOP,,SPRINT,STRONG,,,X FLUTTER,,,,,,,"PASS, INC",,,SLU,,,,,,,11
33,,3,11,12,R,10,R,R,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,PORK
34,,4,1,2,R,2,R,RM,,SPILL,,SPILL,STRONG,,,,,,,,,,"RUSH, TD",,,SLU,,,,,,,BEEF
41,,0,10,-40,L,0,P,L,,TEX,,SWEAT,,,,X FLIGHT,,,,,,SAN DIEGO STAY,"PASS, INC",,,SLU,,,,,,,11
42,,2,10,-40,L,-5,,L,,TEX,,TEX,,,,Z RETURN,,,,,,,PENALTY NP,,,SLU,,,,,,,11
43,,2,15,-35,L,21,P,L,,SPRINT,,TOP,,,,Y TRADE,,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
44,,1,10,44,L,25,P,L,,,,,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
45,,1,10,19,L,0,P,L,,SPILL,,SPILL,STRONG,,,,,,,,,CUP LT,"PASS, INC",,,SLU,,,,,,,PORK
46,,2,10,19,L,0,P,L,,SWEAT,,SWEAT,,,,,WK MID,,,,,CUP LT,"PASS, INC",,,SLU,,,,,,,11
47,,3,10,19,L,3,R,L,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,BEEF
54,,0,10,-28,L,6,P,L,,TOP,,SPRINT,WEAK,,,H FLIGHT,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
55,,2,4,-34,L,-2,R,LM,,TOP,,SPRINT,WEAK,,,X FLUTTER,,,,,,,"RUSH, FUMBLE",,,SLU,,,,,,,11
56,,3,6,-32,L,0,P,LM,,SPILL,,TUB,,,,Z FLIGHT,,,,,,,"PASS, INC, PENALTY",,,SLU,,,,,,,11
65,,0,10,-16,R,24,P,R,,,,,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
66,,1,10,-40,M,3,R,LM,,TEX,,TEX,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
67,,2,7,-43,M,14,P,RM,,SPRINT,,TEX,STRONG,,,X FLIGHT,Z,,,,,CUP LT,PASS COMP,,,SLU,,,,,,,11
68,,1,10,43,R,7,R,R,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,BEEF
69,,2,3,36,R,0,R,R,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,BEEF
70,,3,3,36,R,2,P,R,,TOP,,SPRINT,WEAK,,,Y ACROSS,OPEN,,,,,CALL,"PASS, COMP",,,SLU,,,,,,,11
71,,4,1,34,R,0,R,RM,,TEX,,TEX,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
79,,0,10,-16,L,4,P,L,,SWEAT,,SWEAT,WEAK,,,,OFF,,,,,BOLT RT,"PASS, COMP",,,SLU,,,,,,,11
80,,2,6,-20,R,25,P,R,,SWEAT,,SWEAT,,,,,,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
81,,1,10,-45,L,-2,P,L,,TOP,,TOP,WEAK,,,,OPEN,,,,,CALL,"PASS, COMP",,,SLU,,,,,,,11
82,,2,12,-43,L,3,P,L,,SWEAT,,SWEAT,,,,,,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
83,,3,9,-46,L,0,P,L,,TOP,,TOP,,,,,,,,,,CUP LT,"PASS, COMP",,,,,,,,,,11
96,,0,10,-23,L,24,P,L,,SPRINT,,TOP,,,,Z FLIGHT,Z WK MID,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
