YEAR,PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
2023,2,,0,10,-46,R,4,P,R,,,,SPRINT,,,,Y IN,,,,,,,"PASS, COMP",85,L,Union College,,,,,,,11A
2023,3,,2,6,50,L,-1,R,L,,,,SPRINT,,,,,,,,,,,RUSH,20,R,Union College,,,,,,,11A
2023,4,,3,7,-49,M,0,R,RM,,,,SPRINT,,,,Y IN,,,,,,,RUSH,20,R,Union College,,,,,,,11A
2023,19,,0,10,-31,R,0,P,R,,,,TRIPS,,,,,,,,,,,"PASS, INC",,R,Union College,,,,,,,10
2023,20,,2,10,-31,R,5,R,R,,,,TOP,,,,,,,,,,,RUSH,18,R,Union College,,,,,,,11A
2023,21,,3,3,-38,R,-1,R,R,,,,TRIPS,,,,,,,,,,,RUSH,20,L,Union College,,,,,,,11A
2023,35,,0,10,-17,L,2,P,L,,,,SPRINT,,,,Y ACROSS,,,,,,,"PASS, COMP",14,R,Union College,,,,,,,11A
2023,36,,2,8,-19,L,0,P,L,,,,SPREAD,,,,,,,,,,,"PASS, INC",19,R,Union College,,,,,,,10
2023,37,,3,8,-19,L,0,P,L,,,,TRIPS,,,,H OVER,,,,,,,"PASS, INC",86,L,Union College,,,,,,,10
2023,43,,0,10,-22,M,6,P,RM,,,,TEX,,,,,,,,,,,"PASS, COMP",10,L,Union College,,,,,,,11A
2023,44,,2,4,-28,L,1,R,LM,,,,SPRINT,,,,Y IN,,,,,,,RUSH,20,L,Union College,,,,,,,11A
2023,45,,3,3,-29,L,0,P,LM,,,,TOP,,,,,OPEN,,,,,,"PASS, INC",86,L,Union College,,,,,,,11A
2023,51,,0,10,-11,R,1,R,RM,,,,TRIGGER,,,,,,,,,,,RUSH,20,R,Union College,,,,,,,12
2023,52,,2,9,-12,R,15,P,R,,,,TRIPS,,,,H OVER,,,,,,,"PASS, COMP",86,L,Union College,,,,,,,10
2023,53,,1,10,-27,R,-7,P,RM,,,,SPREAD,,,,,H,,,,,,"PASS, SACK",,L,Union College,,,,,,,10
2023,54,,2,17,-20,R,18,P,RM,,,,TEX,,,,,,,,,,,"PASS, SCRAMBLE",18,L,Union College,,,,,,,11A
2023,55,,1,10,-38,R,1,R,R,,,,TIN,,,,,,,,,,,RUSH,20,R,Union College,,,,,,,12
2023,56,,2,9,-39,R,2,P,R,,,,TRIPS,,,,,,,,,,,"PASS, COMP",87,L,Union College,,,,,,,10
2023,57,,3,7,-41,L,-5,P,L,,,,EMPTY SPRINT,,,,,,,,,,,"PASS, SACK",,R,Union College,,,,,,,1
2023,64,,0,10,-25,R,0,P,R,,,,SPRINT,,,,,,,,,,CHARGER,"PASS, INC",87,L,Union College,,,,,,,11A
2023,65,,2,10,-25,R,14,P,R,,,,SPREAD,,,,,,,,,,,"PASS, COMP",86,R,Union College,,,,,,,10
2023,66,,1,10,-39,R,0,P,R,,,,TEX,,,,,,,,,,,"PASS, INC",20,R,Union College,,,,,,,11B
