PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
1,,0,10,-25,R,-4,R,,,,,TEX,GUN,,,F RETURN,NEAR,,,,,,LOSS,,,SLU,,,,,,,11
2,,2,14,-21,R,0,P,,,,,TEX,GUN,,,F FLIGHT,NEAR,,,,,ROLL LT,INCOMPLETE,,,SLU,,,,,,,11
3,,3,14,-21,R,-6,R,,,,,SPILL,GUN,,,,NEAR,,,,,,LOSS,,,SLU,,,,,,,12
4,,0,10,-27,R,2,R,,,,,SPILL,GUN,,,,NEAR,,,,,,GAIN,,,SLU,,,,,,,12
5,,2,8,-29,R,5,R,,,,,TIN,GUN,,,,NEAR,,,,,,GAIN,,,SLU,,,,,,,12
6,,3,3,-34,R,8,R,,,,,TEX,GUN,,,,H / FAR,,,,,CUP,GAIN,,,SLU,,,,,,,11
7,,1,10,-42,M,6,P,,,TOP,,SWEAT,GUN,,,Y TRADE,,,,,,,COMPLETE,,,SLU,,,,,,,11
8,,2,4,-48,R,6,R,,,,,SPIKE,UC,,,,,,,,,,GAIN,,,SLU,,,,,,,12
9,,1,10,46,R,0,P,,,,,TIN,GUN,,,F SNIP,NEAR,,,,,,COMPLETE,,,SLU,,,,,,,12
10,,2,10,46,R,4,R,,,,,TEX,GUN,,,F RETURN,NEAR,,,,,,GAIN,,,SLU,,,,,,,11
11,,3,6,42,R,0,P,,,,,TRIPS,GUN,,,,,,,,,SOLID 6 WAX,,,,SLU,,,,,,,10
12,,0,10,-7,R,0,P,,,,,TEX,GUN,,,,FAR,,,,,DASH LT,"COMPLETE, PENALTY",,,SLU,,,,,,,11
13,,1,14,-29,R,0,R,,,,,TIN,GUN,,,,NEAR,,,,,,,,,SLU,,,,,,,12
14,,3,14,-29,L,0,R,,,,,SPILL,GUN,,,F FLIGHT,FAR,,,,,,GAIN,,,SLU,,,,,,,12
15,,0,10,-25,L,5,P,,,,,TOP,GUN,,,,,,,,,SOLID SNAZ,COMPLETE,,,SLU,,,,,,,11
16,,2,5,-30,L,3,P,,,,,SPIKE,UC,,,,,,,,,,COMPLETE,,,SLU,,,,,,,12
17,,3,2,-33,R,28,P,,,,,TOP,GUN,,,,,,,,,SOLID SNAZ,COMPLETE,,,SLU,,,,,,,11
18,,1,10,39,R,-4,R,,,,,SPIKE,UC,,,,,,,,,,LOSS,,,SLU,,,,,,,12
66,,2,19,48,R,13,P,,,,,SPREAD,GUN,,,,,,,,,SOLID 6 WILL,SCRAMBLE,,,SLU,,,,,,,10
20,,3,6,35,R,0,P,,,,,SPRINT,GUN,,,,,,,,,SOLID 6 WAX,INTERCEPTION,,,SLU,,,,,,,11
21,,0,10,-25,R,-5,P,,,,,TOP,GUN,,,,,,,,,SOLID,SACK,,,SLU,,,,,,,11
22,,2,15,-20,L,3,P,,,,,TOP,GUN,,,,,,,,,SOLID SNAZ,INCOMPLETE,,,SLU,,,,,,,11
23,,3,12,-23,L,-7,P,,,,,TRIPS,GUN,,,,,,,,,SOLID 6 WAX,SACK,,,SLU,,,,,,,10
